"INDEX_YEAR","GENDER","AGE_DECILE","PERSON_COUNT","TOTAL_COUNT","INCIDENCE"
2000,"FEMALE",6,0,418203,0
2000,"FEMALE",4,0,1158507,0
2000,"FEMALE",2,0,980195,0
2000,"FEMALE",3,0,1220943,0
2000,"FEMALE",0,0,909676,0
2000,"FEMALE",1,0,917722,0
2000,"FEMALE",7,0,617931,0
2000,"FEMALE",5,0,758014,0
2000,"MALE",5,0,718554,0
2000,"MALE",0,0,955957,0
2000,"MALE",4,0,1095264,0
2000,"MALE",6,0,397610,0
2000,"MALE",3,0,1174440,0
2000,"MALE",2,0,894173,0
2000,"MALE",7,0,437298,0
2000,"MALE",1,0,954567,0
2001,"FEMALE",1,0,1091073,0
2001,"FEMALE",3,0,1452282,0
2001,"FEMALE",0,0,1070605,0
2001,"FEMALE",5,0,919649,0
2001,"FEMALE",6,0,435949,0
2001,"FEMALE",4,0,1390737,0
2001,"FEMALE",7,0,496271,0
2001,"FEMALE",2,0,1175947,0
2001,"MALE",2,0,1075418,0
2001,"MALE",6,0,427545,0
2001,"MALE",3,0,1404795,0
2001,"MALE",1,0,1137669,0
2001,"MALE",5,0,875861,0
2001,"MALE",0,0,1124711,0
2001,"MALE",7,0,367892,0
2001,"MALE",4,0,1329518,0
2002,"FEMALE",4,1,1440235,6.94331133e-07
2002,"FEMALE",5,3,976096,3.073468183e-06
2002,"FEMALE",6,5,447330,1.1177430532e-05
2002,"FEMALE",2,1,1166317,8.57399832e-07
2002,"FEMALE",1,0,1100407,0
2002,"FEMALE",3,2,1444712,1.384358958e-06
2002,"FEMALE",7,10,550100,1.8178512997e-05
2002,"FEMALE",0,0,1055522,0
2002,"MALE",0,0,1108572,0
2002,"MALE",1,0,1149919,0
2002,"MALE",5,9,932630,9.650129204e-06
2002,"MALE",4,5,1387327,3.604052973e-06
2002,"MALE",2,3,1067264,2.810925881e-06
2002,"MALE",6,16,446804,3.5809885318e-05
2002,"MALE",7,10,402748,2.4829421871e-05
2002,"MALE",3,1,1403581,7.12463334e-07
2003,"FEMALE",3,10,1458432,6.856678953e-06
2003,"FEMALE",2,3,1183821,2.534166905e-06
2003,"FEMALE",1,2,1113177,1.796659471e-06
2003,"FEMALE",0,0,1052527,0
2003,"FEMALE",4,18,1495704,1.2034466712e-05
2003,"FEMALE",5,56,1037735,5.3963680515e-05
2003,"FEMALE",7,137,500372,0.000273796295556
2003,"FEMALE",6,50,459499,0.000108814164992
2003,"MALE",6,140,461230,0.000303536196691
2003,"MALE",4,47,1442771,3.2576202321e-05
2003,"MALE",2,2,1080715,1.850626668e-06
2003,"MALE",3,11,1409496,7.804208028e-06
2003,"MALE",0,0,1104738,0
2003,"MALE",1,0,1161122,0
2003,"MALE",7,201,371993,0.000540332748196
2003,"MALE",5,107,988449,0.000108250400374
2004,"FEMALE",5,41,1106129,3.7066201139e-05
2004,"FEMALE",0,0,1055703,0
2004,"FEMALE",4,28,1535726,1.8232419064e-05
2004,"FEMALE",6,58,494538,0.000117281179606
2004,"FEMALE",3,9,1465043,6.143164398e-06
2004,"FEMALE",2,2,1214871,1.646265323e-06
2004,"FEMALE",7,126,501013,0.000251490480286
2004,"FEMALE",1,2,1129731,1.770332937e-06
2004,"MALE",1,0,1178243,0
2004,"MALE",3,13,1425547,9.119306483e-06
2004,"MALE",0,1,1108359,9.02234745e-07
2004,"MALE",5,109,1054440,0.000103372406206
2004,"MALE",6,166,495230,0.000335197786886
2004,"MALE",4,57,1492406,3.8193360251e-05
2004,"MALE",7,218,375313,0.000580848518436
2004,"MALE",2,1,1117617,8.94760906e-07
2005,"FEMALE",2,4,1263761,3.165155436e-06
2005,"FEMALE",6,88,578556,0.000152102821507
2005,"FEMALE",3,14,1469120,9.529514267e-06
2005,"FEMALE",1,0,1154256,0
2005,"FEMALE",5,65,1197233,5.4291854634e-05
2005,"FEMALE",0,2,1070613,1.868088655e-06
2005,"FEMALE",7,339,670864,0.000505318514631
2005,"FEMALE",4,40,1567490,2.5518504105e-05
2005,"MALE",4,53,1527660,3.469358365e-05
2005,"MALE",5,139,1142649,0.000121647154988
2005,"MALE",6,239,566823,0.000421648380535
2005,"MALE",2,2,1179446,1.695711376e-06
2005,"MALE",1,0,1204037,0
2005,"MALE",3,30,1440151,2.0831148955e-05
2005,"MALE",7,479,494439,0.00096877471235
2005,"MALE",0,0,1122397,0
2006,"FEMALE",0,0,1069133,0
2006,"FEMALE",1,0,1152492,0
2006,"FEMALE",5,85,1231679,6.9011487571e-05
2006,"FEMALE",4,31,1549443,2.000718968e-05
2006,"FEMALE",8,263,348150,0.000755421513715
2006,"FEMALE",2,6,1292286,4.642935077e-06
2006,"FEMALE",6,99,655816,0.000150956975737
2006,"FEMALE",7,142,444783,0.000319256806127
