"INDEX_YEAR","GENDER","AGE_DECILE","PERSON_COUNT","TOTAL_COUNT","INCIDENCE"
2006,"FEMALE",6,112,173127,0.000646923934452
2006,"FEMALE",4,49,265967,0.000184233382336
2006,"FEMALE",2,12,665814,1.8023051482e-05
2006,"FEMALE",3,17,395152,4.3021419605e-05
2006,"FEMALE",8,120,163708,0.000733012436777
2006,"FEMALE",0,1,1134149,8.81718363e-07
2006,"FEMALE",1,1,851593,1.174269868e-06
2006,"FEMALE",9,12,21657,0.000554093364731
2006,"FEMALE",7,129,169314,0.000761898011977
2006,"FEMALE",5,90,193746,0.00046452571924
2006,"MALE",5,106,143363,0.000739381848873
2006,"MALE",0,0,1191067,0
2006,"MALE",2,4,149694,2.6721177869e-05
2006,"MALE",6,96,107691,0.000891439396049
2006,"MALE",4,72,163761,0.000439665121732
2006,"MALE",8,36,43504,0.000827510114012
2006,"MALE",3,20,130200,0.000153609831029
2006,"MALE",7,54,79477,0.000679441851101
2006,"MALE",1,0,828378,0
2006,"MALE",9,2,4338,0.000461041954817
2007,"FEMALE",9,1,9892,0.000101091791346
2007,"FEMALE",8,53,131886,0.000401862214336
2007,"FEMALE",2,10,453074,2.2071449696e-05
2007,"FEMALE",5,58,143636,0.000403798490629
2007,"FEMALE",0,0,739465,0
2007,"FEMALE",4,26,177092,0.000146816344047
2007,"FEMALE",6,61,128833,0.000473481173301
2007,"FEMALE",1,1,548681,1.82255263e-06
2007,"FEMALE",3,12,257132,4.666863712e-05
2007,"FEMALE",7,61,124943,0.000488222629519
2007,"MALE",7,29,57145,0.000507480969463
2007,"MALE",4,45,112205,0.000401051646539
2007,"MALE",2,8,97432,8.2108547499e-05
2007,"MALE",9,1,2019,0.000495294700346
2007,"MALE",8,17,34215,0.000496858103171
2007,"MALE",0,0,779610,0
2007,"MALE",5,97,105431,0.000920033007369
2007,"MALE",3,21,86183,0.000243667544643
2007,"MALE",6,69,75816,0.00091009813232
2007,"MALE",1,3,530323,5.656929833e-06
2008,"FEMALE",1,0,686418,0
2008,"FEMALE",0,0,975100,0
2008,"FEMALE",2,15,488866,3.0683254716e-05
2008,"FEMALE",7,80,126162,0.000634105356604
2008,"FEMALE",4,52,187908,0.000276731166315
2008,"FEMALE",8,100,132279,0.000755977895206
2008,"FEMALE",9,1,10583,9.4491165076e-05
2008,"FEMALE",6,93,136841,0.00067962087386
2008,"FEMALE",5,96,156133,0.000614860407473
2008,"FEMALE",3,23,282238,8.1491507167e-05
2008,"MALE",3,31,93721,0.000330768984539
2008,"MALE",8,39,35271,0.001105724249383
2008,"MALE",2,9,107974,8.3353399892e-05
2008,"MALE",1,2,671361,2.979023208e-06
2008,"MALE",0,0,1023497,0
2008,"MALE",4,88,117712,0.000747587331792
2008,"MALE",7,69,58610,0.001177273502815
2008,"MALE",5,151,115991,0.001301825141605
2008,"MALE",9,0,2160,0
2008,"MALE",6,117,80771,0.001448539698654
2009,"FEMALE",6,152,151839,0.001001060333642
2009,"FEMALE",4,77,212875,0.000361714621256
2009,"FEMALE",2,18,567450,3.1720856463e-05
2009,"FEMALE",3,27,333197,8.1033142555e-05
2009,"FEMALE",8,155,141389,0.001096266329063
2009,"FEMALE",0,0,1149899,0
2009,"FEMALE",1,4,805886,4.963481187e-06
2009,"FEMALE",9,5,10922,0.000457791613257
2009,"FEMALE",7,142,133701,0.001062071338284
2009,"FEMALE",5,156,178748,0.000872737037617
2009,"MALE",5,263,137765,0.001909048016549
2009,"MALE",0,2,1206413,1.657807069e-06
2009,"MALE",2,9,132368,6.7992263991e-05
2009,"MALE",6,185,91800,0.002015250544662
2009,"MALE",4,138,134989,0.00102230552119
2009,"MALE",8,66,38488,0.001714820203699
2009,"MALE",3,38,114039,0.000333219337244
2009,"MALE",7,84,63618,0.001320381024238
2009,"MALE",1,0,796082,0
2009,"MALE",9,0,2331,0
2010,"FEMALE",9,3,14733,0.000203624516391
2010,"FEMALE",8,128,144162,0.000887890012624
2010,"FEMALE",2,24,535095,4.4851848737e-05
2010,"FEMALE",5,134,179415,0.000746871777722
2010,"FEMALE",0,0,1137746,0
2010,"FEMALE",4,77,202546,0.00038016055612
2010,"FEMALE",6,134,158209,0.000846980892363
2010,"FEMALE",1,2,818100,2.444688913e-06
2010,"FEMALE",3,46,324450,0.000141778394205
2010,"FEMALE",7,109,140317,0.000776812503117
2010,"MALE",7,99,68060,0.001454598883338
2010,"MALE",4,107,127363,0.000840118401733
2010,"MALE",2,7,122930,5.6942975677e-05
2010,"MALE",9,1,3078,0.000324886289798
2010,"MALE",8,50,40402,0.001237562496906
2010,"MALE",0,0,1190834,0
2010,"MALE",5,224,140170,0.001598059499179
2010,"MALE",3,43,111367,0.000386110786857
2010,"MALE",6,172,97119,0.001771023177751
2010,"MALE",1,0,815862,0
2011,"FEMALE",1,4,761156,5.255164512e-06
2011,"FEMALE",0,1,1042946,9.58822412e-07
2011,"FEMALE",2,28,503218,5.5641888803e-05
2011,"FEMALE",7,106,130991,0.000809215900329
2011,"FEMALE",4,74,183543,0.000403175277727
