"INDEX_YEAR","GENDER","AGE_DECILE","PERSON_COUNT","TOTAL_COUNT","INCIDENCE"
2000,"FEMALE",6,15,129775,0.000115584665767
2000,"FEMALE",4,12,318204,3.7711656673e-05
2000,"FEMALE",2,0,206896,0
2000,"FEMALE",3,0,265876,0
2000,"FEMALE",8,0,622,0
2000,"FEMALE",0,0,192189,0
2000,"FEMALE",10,0,2,0
2000,"FEMALE",1,0,244908,0
2000,"FEMALE",9,0,151,0
2000,"FEMALE",7,1,1633,0.000612369871402
2000,"FEMALE",5,17,297156,5.7209008063e-05
2000,"MALE",5,51,260556,0.000195735273799
2000,"MALE",10,0,2,0
2000,"MALE",2,0,196261,0
2000,"MALE",6,67,115705,0.000579058813361
2000,"MALE",4,14,271189,5.1624512793e-05
2000,"MALE",0,0,201986,0
2000,"MALE",3,0,236675,0
2000,"MALE",8,0,241,0
2000,"MALE",7,5,1613,0.003099814011159
2000,"MALE",1,0,257420,0
2000,"MALE",9,0,41,0
2001,"FEMALE",9,0,153,0
2001,"FEMALE",3,0,388427,0
2001,"FEMALE",2,0,337458,0
2001,"FEMALE",5,38,534668,7.1072141964e-05
2001,"FEMALE",10,0,3,0
2001,"FEMALE",0,0,288268,0
2001,"FEMALE",6,30,237772,0.000126171290143
2001,"FEMALE",4,13,515927,2.5197363192e-05
2001,"FEMALE",1,0,394663,0
2001,"FEMALE",8,0,624,0
2001,"FEMALE",7,1,1644,0.000608272506082
2001,"MALE",7,4,1657,0.002414001207
2001,"MALE",6,141,214189,0.000658297111429
2001,"MALE",2,0,317974,0
2001,"MALE",9,0,29,0
2001,"MALE",3,0,340750,0
2001,"MALE",0,0,303310,0
2001,"MALE",5,109,472622,0.000230628282221
2001,"MALE",10,0,3,0
2001,"MALE",8,1,241,0.00414937759336
2001,"MALE",4,27,435375,6.2015503875e-05
2001,"MALE",1,0,412617,0
2002,"FEMALE",1,0,743748,0
2002,"FEMALE",5,63,913471,6.8967706692e-05
2002,"FEMALE",2,0,687506,0
2002,"FEMALE",7,1,1711,0.000584453535943
2002,"FEMALE",6,39,391641,9.9580993818e-05
2002,"FEMALE",0,0,593254,0
2002,"FEMALE",9,0,177,0
2002,"FEMALE",3,0,794373,0
2002,"FEMALE",4,50,953389,5.2444490129e-05
2002,"FEMALE",10,0,3,0
2002,"FEMALE",8,0,597,0
2002,"MALE",8,0,273,0
2002,"MALE",9,0,28,0
2002,"MALE",2,0,627072,0
2002,"MALE",1,0,774250,0
2002,"MALE",5,183,791334,0.000231255070551
2002,"MALE",0,0,621455,0
2002,"MALE",7,1,1776,0.000563063063063
2002,"MALE",6,221,355380,0.000621869548089
2002,"MALE",10,0,1,0
2002,"MALE",3,0,711490,0
2002,"MALE",4,36,811116,4.4383294128e-05
2003,"FEMALE",4,42,1517659,2.7674200858e-05
2003,"FEMALE",7,0,1521,0
2003,"FEMALE",2,0,1072026,0
