phenotypeId,webApiCohortId,cohortName,logicDescription,cohortId,referentConceptId,cohortType,PMID,oldPhenotypeId,referentConceptName
4137275000,18651,[PL 313223001] Granulomatosis with polyangiitis referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,"Persons with condition occurrence of referent concept (313223) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",313223001,313223,referent,NA,313223000,Granulomatosis with polyangiitis
4137275000,18650,[PL 313223002] Granulomatosis with polyangiitis referent concept prevalent cohort: First occurrence of referent concept + descendants,"Persons with condition occurrence of referent concept (313223) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",313223002,313223,referent,NA,313223000,Granulomatosis with polyangiitis
4137275000,17784,[PL 314381001] Acute febrile mucocutaneous lymph node syndrome referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,"Persons with condition occurrence of referent concept (314381) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",314381001,314381,referent,NA,314381000,Acute febrile mucocutaneous lymph node syndrome
4137275000,17783,[PL 314381002] Acute febrile mucocutaneous lymph node syndrome referent concept prevalent cohort: First occurrence of referent concept + descendants,"Persons with condition occurrence of referent concept (314381) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",314381002,314381,referent,NA,314381000,Acute febrile mucocutaneous lymph node syndrome
4137275000,16234,"[PL 314381003] Multi-system inflammatory syndrome (Kawasaki disease or toxic shock syndrome) episodes, defined by condition occurrences of 'Toxic shock syndrome or kawasaki disease' conceptset",NA,314381003,314381,NA,NA,314381000,Acute febrile mucocutaneous lymph node syndrome
4137275000,18510,"[PL 314381004] Kawasaki's disease by Kao, First  event of Acute febrile mucocutaneous lymph node syndrome [MCLS] during inpatient or ER",NA,314381004,314381,literature,NA,314381000,Acute febrile mucocutaneous lymph node syndrome
4137275000,18691,[PL 320749001] Polyarteritis nodosa referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,"Persons with condition occurrence of referent concept (320749) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",320749001,320749,referent,NA,320749000,Polyarteritis nodosa
4137275000,18690,[PL 320749002] Polyarteritis nodosa referent concept prevalent cohort: First occurrence of referent concept + descendants,"Persons with condition occurrence of referent concept (320749) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",320749002,320749,referent,NA,320749000,Polyarteritis nodosa
4137275000,17425,[PL 436642001] Behcet's syndrome referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,"Persons with condition occurrence of referent concept (436642) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",436642001,436642,referent,NA,436642000,Behcet's syndrome
4137275000,17424,[PL 436642002] Behcet's syndrome referent concept prevalent cohort: First occurrence of referent concept + descendants,"Persons with condition occurrence of referent concept (436642) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",436642002,436642,referent,NA,436642000,Behcet's syndrome
