phenotypeId,webApiCohortId,cohortName,logicDescription,cohortId,referentConceptId,cohortType,PMID
4190307000,18618,[PL 139803001] Acute transverse myelitis referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,"Persons with condition occurrence of referent concept (139803) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",139803001,139803,referent,
4190307000,18617,[PL 139803002] Acute transverse myelitis referent concept prevalent cohort: First occurrence of referent concept + descendants,"Persons with condition occurrence of referent concept (139803) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",139803002,139803,referent,
4190307000,18536,"[PL 139803003] Transverse myelitis events, using diagnosis codes from Minegishi MSRD 2019","Transverse myelitis events, using diagnosis codes from Minegishi MSRD 2019",139803003,139803,literature,
4190307000,18537,"[PL 139803004] Transverse myelitis hospitalization events, using diagnosis codes from Minegishi MSRD 2019","Transverse myelitis hospitalization events, using diagnosis codes from Minegishi MSRD 2019",139803004,139803,literature,
4190307000,18538,"[PL 139803005] Transverse myelitis events, using diagnosis codes from Marrie MSRD 2018","Transverse myelitis events, using diagnosis codes from Marrie MSRD 2018",139803005,139803,literature,
4190307000,18539,"[PL 139803006] Transverse myelitis hospitalization events, using diagnosis codes from Rasmussen BMJ 2012","Transverse myelitis hospitalization events, using diagnosis codes from Rasmussen BMJ 2012",139803006,139803,literature,
4190307000,18540,"[PL 139803007] Transverse myelitis events, using diagnosis codes used across literature","Transverse myelitis events, using diagnosis codes used across literature",139803007,139803,,
4190307000,18616,[PL 374021001] Acute disseminated encephalomyelitis referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,"Persons with condition occurrence of referent concept (374021) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",374021001,374021,referent,
4190307000,18615,[PL 374021002] Acute disseminated encephalomyelitis referent concept prevalent cohort: First occurrence of referent concept + descendants,"Persons with condition occurrence of referent concept (374021) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",374021002,374021,referent,
4190307000,18567,"[PL 374021003] Acute disseminated encephalomyelitis hospitalization events, using diagnosis codes from Minegishi 2019",,374021003,374021,literature,
4190307000,18568,"[PL 374021004] Acute disseminated encephalomyelitis hospitalization events, using specific Acute disseminated encephalomyelitis code by Langer-Gould, 2011",,374021004,374021,literature,
4190307000,18503,"[PL 374021005] Acute disseminated encephalomyelitis Events by VanLandingham, Custom code and require an inpatient, primary diagnosis",,374021005,374021,,
4190307000,18639,[PL 378143001] Encephalitis referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,"Persons with condition occurrence of referent concept (378143) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",378143001,378143,referent,
4190307000,18638,[PL 378143002] Encephalitis referent concept prevalent cohort: First occurrence of referent concept + descendants,"Persons with condition occurrence of referent concept (378143) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",378143002,378143,referent,
4190307000,18623,[PL 4201096001] Aseptic meningitis referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,"Persons with condition occurrence of referent concept (4201096) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",4201096001,4201096,referent,
4190307000,18622,[PL 4201096002] Aseptic meningitis referent concept prevalent cohort: First occurrence of referent concept + descendants,"Persons with condition occurrence of referent concept (4201096) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",4201096002,4201096,referent,
4190307000,18506,[PL 4201096003] Aseptic meningitis by Perez-Vilar (specific codes for meningitias excluding encephalitis diagnosis),,4201096003,4201096,literature,
