phenotypeId,webApiCohortId,cohortName,logicDescription,cohortId
81893000,17699,[PL 81893001] Ulcerative colitis referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,"Persons with condition occurrence of referent concept (81893) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",81893001
81893000,17698,[PL 81893002] Ulcerative colitis referent concept prevalent cohort: First occurrence of referent concept + descendants,"Persons with condition occurrence of referent concept (81893) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",81893002
81893000,10605,[PL 81893003] Ulcerative colitis at first diagnosis with no history of ulcerative colitis,Ulcerative colitis at first diagnosis with 365 days continous observation and no history of ulcerative colitis observation. Cohort exist is the end of continous observable time for the person.,81893003
81893000,15982,"[PL 81893004] Ulcerative colitis at first diagnosis with a second diagnosis at any time in future, no history of code",Ulcerative colitis at first diagnosis with 365 days continous observation and no history of ulcerative colitis observation with second occurrence at anytime after index date. Cohort exist is the end of continous observable time for the person.,81893004
81893000,18803,[PL 81893005] Ulcerative Colitis Ananthakrishnan 1,Ulcerative Colitis Ananthakrishnan (2013) 1+ codes,81893005
81893000,18804,[PL 81893006] Ulcerative Colitis Ananthakrishnan 2,Ulcerative Colitis Ananthakrishnan (2013) 5+ codes,81893006
81893000,18805,[PL 81893007] Ulcerative Colitis Ananthakrishnan 3,Ulcerative Colitis Ananthakrishnan (2013) 1+ codes + endoscopy,81893007
81893000,18806,[PL 81893008] Ulcerative Colitis Ananthakrishnan 4,Ulcerative Colitis Ananthakrishnan (2013) 4+ codes out-patient or 2+ codes in-patient,81893008
81893000,18807,[PL 81893009] Ulcerative Colitis Stepaniuk 1,Ulcerative Colitis Stepaniuk (2015) 1+ codes In-patient,81893009
81893000,18808,[PL 81893010] Ulcerative Colitis Thirumurthi 1,Ulcerative Colitis Thirumurthi (2010) 1+ codes In-patient,81893010
